_id,작성자,선택 옵션,별점,내용
658b9613b512fe877f82f28e,eve5**,선택 옵션\n위하닭 위하소 골라담기:셰프의자부심 그릴 1+1,4,샐러드와 함께 먹기 위해 대량 구매했어요\n맛도 괜찮고 유텅기한도 충분해요
658b9613b512fe877f82f28f,blue**********,선택 옵션\n위하닭 위하소 골라담기:셰프의자부심 데리야끼,4,헬스하는 아들때문에 주문했는대\n맛있다고 다음에 또 주문 하라내요\n배송이 늦을까 내심 걱정했는대 빠르게\n도착해서 굿입니다.^^
658b9613b512fe877f82f290,eve5**,선택 옵션\n위하닭 위하소 골라담기:셰프의자부심 커리 1+1,4,플레인 말고 양념된 맛들도 괜찮은거 같아요
658b9613b512fe877f82f291,민트냥,선택 옵션\n위하닭 위하소 골라담기:셰프의자부심 저염 1+1,5,최고예요 정말 맛있어요 \n여때 먹어본 닭가슴살 중 최고\n또 시키러왔어요
658b9613b512fe877f82f292,dlar*******,선택 옵션\n위하닭 위하소 골라담기:득근 싱글 어니언,5,이것저것 샀는데 역시 통닭가슴살보단 핫바처럼 가공한게 맛은있네요
658b9613b512fe877f82f293,rwsl****,선택 옵션\n위하닭 위하소 골라담기:소시지 득근 청양고추 1+1,5,밥대신먹으려고샀는데두팩은많고한팩반..세개가딱이네요
658b9613b512fe877f82f294,dlar*******,선택 옵션\n위하닭 위하소 골라담기:셰프의자부심 페퍼칠리,4,이것저것 샀는데 역시 통닭가슴살보단 핫바처럼 가공한게 맛있네요
658b9613b512fe877f82f295,eve5**,선택 옵션\n위하닭 위하소 골라담기:셰프의자부심 페퍼칠리 1+1,4,가격도 좋고 유통기한 맛도 좋아요
658b9613b512fe877f82f296,daeh****,선택 옵션\n위하닭 위하소 골라담기:07.셰프의자부심 오리지널 1+1,5,운동하는 아들때문에. 샀는데 소스가 맛있다고 하네요~
658b9613b512fe877f82f297,daeh****,선택 옵션\n위하닭 위하소 골라담기:08.셰프의자부심 그릴 1+1,5,소스도 맛있고 배송도 빠르고 좋아요
658b9613b512fe877f82f298,tata***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리 1+1,5,종류별로 여러가지 시켰는데 먹어보구 다시 후기 올릴께요.
658b9613b512fe877f82f299,daeh****,선택 옵션 위하닭 위하소 골라담기:09.셰프의자부심 커리 1+1,5,운동하는 아들이 맛있다고 하네요\n다음에도 주문할게요
658b9613b512fe877f82f29a,daeh****,선택 옵션 위하닭 위하소 골라담기:06.셰프의자부심 저염 1+1,5,맛있고 신선해요\n다음에 또 구입할게요
658b9613b512fe877f82f29b,tata***,선택 옵션 위하닭 위하소 골라담기:실온닭 마일드 1+1,5,여러가지 먹어보구 그중 젤 좋은거로만 나중에 또 시키려구요.
658b9613b512fe877f82f29c,tata***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼 1+1,5,종류별로 시켰는데 아직 못먹어 봤네요.
658b9613b512fe877f82f29d,tata***,선택 옵션 위하닭 위하소 골라담기:실온닭 훈제 1+1,5,어떤 종류가 맛이 좋을지 기대됩니다.
658b9613b512fe877f82f29e,태지엄마,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,단백하고짜지않고좋아요
658b9613b512fe877f82f29f,yben****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리,5,맛있네요.  살 빼는데 도움이 됐으면 좋겠네요 
658b9613b512fe877f82f2a0,rita**,선택 옵션 단호한결심 위하닭:득근 싱글 오리지널,5,먹어？던 닭가슴살 중에 제일 맛있어요!!\n닭냄새도 안나고~ 특히 올리브! 청양! 소시지들!!\n전자레인지에 1분30초 돌리면 돼서 먹기도 편해요
658b9613b512fe877f82f2a1,하마해,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리,3,냉동상태배송인데..다른건 괜찮은데..\n제품하나가 밀봉이 뚫렸는지....\n비닐상태가 별로네요..공기가 들어가서 ㅠㅠ\n날씨가 겨울이면 몰라도...여름이라..\n이거 하나는 못먹고 버렸네요.\n아직 섭취전인데...매번 허닭먹다가 처음시켜봤는데\n계속 시킬지는 의문이네요
658b9613b512fe877f82f2a2,2911***************,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리,5,닭가슴살이 너무 부드럽고 맛있어서 질리지 않아요!! 다이어트 성공할수 있을듯ㅎㅎㅎ
658b9613b512fe877f82f2a3,gold*****,선택 옵션 단호한결심 위하닭:06_시그니처 김치,5,카레맛은 향이 조금 더 강했으면 좋았을거 같아요
658b9613b512fe877f82f2a4,cheeselove,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리,5,살짝 매콤하니 가슴살도 부드럽고 질리지않게 다양하게 구매했어요
658b9613b512fe877f82f2a5,xmfo****,선택 옵션 단호한결심 위하닭:15_블랙라벨 양념치킨,5,위닭께 진짜 괜찮은 닭고기 같아요
658b9613b512fe877f82f2a6,ilik*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼,5,신선하고맛있었러요 유통기한도 넉넉
658b9613b512fe877f82f2a7,euns******,선택 옵션 단호한결심 위하닭:04_소시지 득근 임실치즈,5,소스도 맛있지만 닭가름살 자체가 부드럽고 맛나요
658b9613b512fe877f82f2a8,anar******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리,5,아직 먹기전 여러가지 먹을 수 있어서 좋습니다.
658b9613b512fe877f82f2a9,ilik*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,맛고좋고 유통기한도 넉넉했습니다
658b9613b512fe877f82f2aa,ilik*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 양념치킨,5,신선하고맛나고 기한도낙낙함
658b9613b512fe877f82f2ab,xmfo****,선택 옵션 단호한결심 위하닭:01_득근 싱글 오리지널,5,위닭 진짜 괜찮은거 같아요.
658b9613b512fe877f82f2ac,태지엄마,선택 옵션 위하닭 위하소 골라담기:소시지 득근 청양고추,5,남편다이어트위해ㅈ구매합니다\n맛있을거같아요
658b9613b512fe877f82f2ad,태지엄마,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,맛있고다이어트음식이라좋아요
658b9613b512fe877f82f2ae,dlar*******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,4,이것저것 샀는데 역시 통닭가슴살보단 핫바처럼 가공한게 맛은있네요
658b9613b512fe877f82f2af,dlar*******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,이것저것 샀는데 역시 통닭가슴살보단 핫바처럼 가공한게 맛은있네요
658b9613b512fe877f82f2b0,dlar*******,선택 옵션 위하닭 위하소 골라담기:득근 싱글 오리지널,5,이것저것 샀는데 역시 통닭가슴살보단 핫바처럼 가공한게 맛은있네요
658b9613b512fe877f82f2b1,ich1***,선택 옵션 위하닭 위하소 골라담기:소시지 득근 청양고추,5,좋아요 맛잇어서 시킵니다
658b9613b512fe877f82f2b2,ich1***,선택 옵션 위하닭 위하소 골라담기:소시지 득근 임실치즈,5,좋습니다 맛잇어서 또시켯어요
658b9613b512fe877f82f2b3,ilik*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,톼인과 함께패서 더 좋았습니다
658b9613b512fe877f82f2b4,gold*****,선택 옵션 단호한결심 위하닭:08_시그니처 그릴,5,1분30초 돌려서 먹으니 맛있어요
658b9613b512fe877f82f2b5,gold*****,선택 옵션 단호한결심 위하닭:09_페퍼칠리,5,페퍼칠리맛 맛있네요!
658b9613b512fe877f82f2b6,ich1***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 한입올리브,5,맛잇어서 자꾸시키게돠네요
658b9613b512fe877f82f2b7,ich1***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼,5,조아요 맛잇습니다 재주문
658b9613b512fe877f82f2b8,gold*****,선택 옵션 단호한결심 위하닭:07_커리,5,배송이 빨라서 좋았어요
658b9613b512fe877f82f2b9,태지엄마,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리,5,단백하고짜지않고좋아요
658b9613b512fe877f82f2ba,agat****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼 1+1,4,
658b9613b512fe877f82f2bb,ks25**,선택 옵션 위하닭 위하소 골라담기:소시지 득근 임실치즈 1+1,5,
658b9613b512fe877f82f2bc,daeh****,선택 옵션 위하닭 위하소 골라담기:10.셰프의자부심 페퍼칠리 1+1,5,
658b9613b512fe877f82f2bd,daeh****,선택 옵션 위하닭 위하소 골라담기:12.셰프의자부심 양념치킨 1+1,5,
658b9613b512fe877f82f2be,daeh****,선택 옵션 위하닭 위하소 골라담기:15.셰프의자부심 한입깐풍 1+1,5,
658b9613b512fe877f82f2bf,호돌이,선택 옵션 위하닭 위하소 골라담기:08.셰프의자부심 그릴 1+1,5,
658b9613b512fe877f82f2c0,swel***,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,5,
658b9613b512fe877f82f2c1,jjso******,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,5,
658b9613b512fe877f82f2c2,woung,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 불닭 1+1,5,
658b9613b512fe877f82f2c3,tata***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널 1+1,5,종류별로 여러가지 시켜봤어요.
658b9613b512fe877f82f2c4,tata***,선택 옵션 위하닭 위하소 골라담기:소시지 득근 청양고추 1+1,5,종류별로 몇가지씩 주문했어요. 
658b9613b512fe877f82f2c5,piae*****,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 불닭 1+1,5,
658b9613b512fe877f82f2c6,piae*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리 1+1,5,
658b9613b512fe877f82f2c7,piae*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리 1+1,5,
658b9613b512fe877f82f2c8,piae*****,선택 옵션 위하닭 위하소 골라담기:소시지 득근 임실치즈 1+1,5,
658b9613b512fe877f82f2c9,piae*****,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,5,
658b9613b512fe877f82f2ca,1605***************,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 저염 1+1,5,
658b9613b512fe877f82f2cb,1508***************,선택 옵션 위하닭 위하소 골라담기:소시지 득근 임실치즈 1+1,5,
658b9613b512fe877f82f2cc,1508***************,선택 옵션 위하닭 위하소 골라담기:소시지 득근 청양고추 1+1,5,
658b9613b512fe877f82f2cd,1508***************,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,5,
658b9613b512fe877f82f2ce,ywt3***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리 1+1,5,
658b9613b512fe877f82f2cf,ywt3***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리 1+1,4,
658b9613b512fe877f82f2d0,twin******,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,5,
658b9613b512fe877f82f2d1,shk8************************,선택 옵션 위하닭 위하소 골라담기:시그니처 김치,5,
658b9613b512fe877f82f2d2,tooh**,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 갈릭,5,맛있게 잘먹었습니다 
658b9613b512fe877f82f2d3,tooh**,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 허브,5,맛있게 잘먹었습니다 
658b9613b512fe877f82f2d4,tooh**,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,맛있게 잘먹었습니다 
658b9613b512fe877f82f2d5,tooh**,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 저염,5,맛있게 잘먹었습니다 
658b9613b512fe877f82f2d6,ywt3***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴 1+1,4,
658b9613b512fe877f82f2d7,S|17**************,선택 옵션 위하닭 위하소 골라담기:블랙라벨 데리야끼,5,맛있어요~~맛있어요
658b9613b512fe877f82f2d8,S|17**************,선택 옵션 위하닭 위하소 골라담기:시그니처 김치,5,맛있어요~~맛있어요~~
658b9613b512fe877f82f2d9,S|17**************,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 저염,5,맛있어요~~맛있어요
658b9613b512fe877f82f2da,S|17**************,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,맛있어요맛있어요맛있ㅇ니요
658b9613b512fe877f82f2db,volc*******,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,3,
658b9613b512fe877f82f2dc,blue**********,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 갈릭,4,
658b9613b512fe877f82f2dd,2911***************,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼,5,
658b9613b512fe877f82f2de,tooh**,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,맛있게 먹겠습니다 
658b9613b512fe877f82f2df,wls8***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리,5,너무맛있어요 또사먹고싶어요
658b9613b512fe877f82f2e0,ks25**,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼,5,
658b9613b512fe877f82f2e1,태지엄마,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 저염,5,맛있고다이어트식이라좋아요
658b9613b512fe877f82f2e2,ks25**,선택 옵션 위하닭 위하소 골라담기:득근 싱글 오리지널,5,
658b9613b512fe877f82f2e3,yben****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 불닭,3,맛은 그럭저럭 합니다
658b9613b512fe877f82f2e4,yben****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 양념치킨,3,맛은ㅍ그럭저럭 하네요. 
658b9613b512fe877f82f2e5,yben****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼,5,진한게 맛있어요. 
658b9613b512fe877f82f2e6,zxr0*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,4,굿~입니다 추천합니다 
658b9613b512fe877f82f2e7,ndal***********,선택 옵션 단호한결심 위하닭:블랙라벨 양념치킨,5,늘먹는건데 가성비가좋아요
658b9613b512fe877f82f2e8,S|11***************,선택 옵션 위하닭 위하소 골라담기:부채살 스테이크 200g,5,Nice product
658b9613b512fe877f82f2e9,anar******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리,5,
658b9613b512fe877f82f2ea,anar******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,
658b9613b512fe877f82f2eb,anar******,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 허브,5,
658b9613b512fe877f82f2ec,anar******,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 갈릭,5,
658b9613b512fe877f82f2ed,anar******,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 불닭,5,
658b9613b512fe877f82f2ee,anar******,선택 옵션 위하닭 위하소 골라담기:블랙라벨 불닭,5,
658b9613b512fe877f82f2ef,영감74,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,
658b9613b512fe877f82f2f0,하마해,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,4,
658b9613b512fe877f82f2f1,perf****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,
658b9613b512fe877f82f2f2,veto***,선택 옵션 위하닭 위하소 골라담기:시그니처 김치,5,
658b9613b512fe877f82f2f3,kht7***,선택 옵션 위하닭 위하소 골라담기:시그니처 김치,5,
658b9613b512fe877f82f2f4,S|11***************,선택 옵션 위하닭 위하소 골라담기:부채살 스테이크 200g,5,
658b9613b512fe877f82f2f5,S|11***************,선택 옵션 위하닭 위하소 골라담기:우둔살 큐브 200g,5,
658b9613b512fe877f82f2f6,S|11***************,선택 옵션 위하닭 위하소 골라담기:설도 큐브 200g,5,
658b9613b512fe877f82f2f7,cheeselove,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 한입올리브,5,
658b9613b512fe877f82f2f8,cheeselove,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 양념치킨,5,진짜 양념치킨 먹는줄...
658b9613b512fe877f82f2f9,cheeselove,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 갈릭,5,
658b9613b512fe877f82f2fa,cheeselove,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,
658b9613b512fe877f82f2fb,cheeselove,선택 옵션 위하닭 위하소 골라담기:소시지 득근 임실치즈,5,
658b9613b512fe877f82f2fc,cheeselove,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 한입깐풍,5,
658b9613b512fe877f82f2fd,cheeselove,선택 옵션 위하닭 위하소 골라담기:득근 싱글 어니언,5,
658b9613b512fe877f82f2fe,wonj******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리,5,
658b9613b512fe877f82f2ff,wonj******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리,5,
658b9613b512fe877f82f300,wonj******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,
658b9613b512fe877f82f301,euns******,선택 옵션 단호한결심 위하닭:03_소시지 득근 훈제,5,
658b9613b512fe877f82f302,ndal***********,선택 옵션 단호한결심 위하닭:블랙라벨 양념치킨,5,조아요조아여 늘먹는거예오
658b9613b512fe877f82f303,ndal***********,선택 옵션 단호한결심 위하닭:커리,5,
658b9613b512fe877f82f304,skad******,선택 옵션 단호한결심 위하닭:01_득근 싱글 오리지널,5,
